bwd_seg_size_avg,pkt_len_min,fwd_pkt_len_min,totlen_bwd_pkts,fwd_pkt_len_max,bwd_pkt_len_min,pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_std,flow_byts_s,fwd_pkt_len_mean,psh_flag_cnt,down_up_ratio,fwd_act_data_pkts,syn_flag_cnt,fin_flag_cnt,Label
264.0,101,101,264,101,264,155.33333333333334,0.0,0.0,11749.873928391326,101.0,0,0.5,2,0,0,8
105.33333333333331,70,118,632,186,70,135.53846153846155,28.799092956238063,17.346149108343585,758.9335132031603,161.42857142857142,0,0.8571428571428571,7,0,0,8
1394.453634085213,54,54,1669161,1844,60,1184.879043600563,124.45011939441422,310.3515250001487,315195.7296904852,69.94222222222223,218,5.32,19,3,0,5
60.0,55,55,60,55,60,56.66666666666666,0.0,0.0,391705.069124424,55.0,0,0.5,2,0,0,9
849.8571428571429,54,54,5949,571,60,499.57142857142856,177.2397200611278,690.2807769454457,4379.272279406839,149.28571428571428,4,1.0,2,3,0,9
60.0,54,54,180,85,60,65.42857142857143,15.5,0.0,1296.1395981967246,69.5,2,0.75,2,0,2,9
1366.6363636363635,54,54,402863,521,60,1139.5403225806451,112.9348367145851,336.0272887562689,83905.66383236369,83.8125,70,4.676470588235294,4,3,0,7
421.7058823529412,54,54,7169,11151,60,719.5185185185185,3311.8912059426107,595.0143611421474,8663.280791169314,1225.8,6,1.7,3,3,0,9
813.2666666666667,54,54,12199,1885,60,566.2307692307693,523.9750640713687,659.916001388729,3228.124370277837,229.3636363636364,5,1.3636363636363635,2,3,2,1
121.0,84,84,121,84,121,96.33333333333331,0.0,0.0,11628.842749074522,84.0,0,0.5,2,0,0,1
550.2107765451664,54,60,347183,1514,54,353.5979661016949,407.711041831216,561.7221721451172,61167.02131452386,206.6042654028436,801,0.7482678983833718,858,0,0,7
183.0,76,76,183,76,183,111.66666666666669,0.0,0.0,3388.35619209451,76.0,0,0.5,2,0,0,5
99.1818181818182,54,54,9819,1432,60,223.32460732984293,269.7642147672632,174.4955421060264,663.6395699204847,356.9130434782609,98,1.076086956521739,89,0,1,9
416.2352941176471,54,54,7076,1847,60,341.6774193548387,472.6170085118539,528.8325131737074,3235.055886567799,251.1428571428572,11,1.2142857142857142,5,3,2,7
54.0,54,114,10314,1514,54,1120.9597855227885,221.27287681429505,0.0,1467645.444855389,1340.5603448275865,455,0.2058189655172413,928,0,0,6
142.0,77,77,142,77,142,98.66666666666669,0.0,0.0,9064.461797580769,77.0,0,0.5,2,0,0,5
0.0,60,60,0,60,0,60.0,0.0,0.0,5.915078319087407,60.0,0,0.0,7,0,7,4
621.0,74,74,1863,83,566,282.625,3.555277766926235,39.50527390952589,815.9959752378966,79.6,0,0.6,5,0,0,8
55.03448275862069,54,60,38088,1514,54,1162.21683991684,242.807916170356,11.719965492785306,1938233.946091665,1351.543215956661,1737,0.1699927867275787,4159,0,0,6
91.0,75,75,91,75,91,80.33333333333333,0.0,0.0,19490.497371613423,75.0,0,0.5,2,0,0,1
